date,target,ticker,consideration,asset
2018-09-05,Nevsun Resources,NSU.TO,C$1.86bn @ C$6.00 (+57%),Timok Cu-Au (Serbia) + Bisha (Eritrea)
2019-12-02,Continental Gold,CNL.TO (RECYCLED),C$1.4bn @ C$5.50 (+29%),Buritica gold (Colombia)
2020-06-15,Guyana Goldfields,GUY.TO,C$323m @ C$1.85,Aurora gold (Guyana)
2021-10-09,Neo Lithium,NLC.V,C$960m @ C$6.50,3Q lithium brine (Argentina)
