date,effr,discount,cpi_yoy,unrate,real_effr
1981-10-01,15.08,14.0,10.271546635182993,7.9,4.808453364817007
1981-11-01,13.31,13.03,9.579439252336464,8.3,3.730560747663537
1981-12-01,12.37,12.1,8.912037037037024,8.5,3.4579629629629753
1982-01-01,13.22,12.0,8.25688073394495,8.6,4.963119266055051
1982-02-01,14.78,12.0,7.613636363636367,8.9,7.1663636363636325
1982-03-01,14.68,12.0,6.884875846501148,9.0,7.795124153498851
1982-04-01,14.94,12.0,6.621773288439958,9.3,8.31822671156004
1982-05-01,14.45,12.0,6.911928651059096,9.4,7.538071348940903
1982-06-01,14.15,12.0,7.182320441988943,9.6,6.967679558011057
1982-07-01,12.59,11.81,6.557377049180335,9.8,6.032622950819665
1982-08-01,10.12,10.68,5.965292841648595,9.8,4.154707158351404
1982-09-01,10.31,10.0,4.940923737916236,10.1,5.369076262083764
1982-10-01,9.71,9.68,5.032119914346889,10.4,4.677880085653112
1982-11-01,9.2,9.35,4.47761194029852,10.8,4.722388059701479
1982-12-01,8.95,8.73,3.825717321997879,10.8,5.12428267800212
1983-01-01,8.68,8.5,3.7076271186440746,10.4,4.972372881355925
1983-02-01,8.51,8.5,3.484688489968324,10.4,5.025311510031676
1983-03-01,8.77,8.5,3.5902851108764455,10.3,5.179714889123554
