Date,AdjClose
2005-01-03,33.21207809448242
2005-01-04,32.24260711669922
2005-01-05,33.69681167602539
2005-01-06,35.07282638549805
2005-01-07,33.931373596191406
2005-01-10,35.04155731201172
2005-01-11,34.924285888671875
2005-01-12,36.01102066040039
2005-01-13,37.2854118347168
2005-01-14,38.11415100097656
2005-01-18,37.426143646240234
2005-01-19,37.308860778808594
2005-01-20,35.143192291259766
2005-01-21,35.010284423828125
2005-01-24,33.931373596191406
2005-01-25,34.009544372558594
2005-01-26,35.049381256103516
2005-01-27,36.706844329833984
2005-01-28,37.84050369262695
2005-01-31,39.67780685424805
2005-02-01,40.576908111572266
2005-02-02,42.179656982421875
2005-02-03,43.12242889404297
2005-02-04,41.56135177612305
2005-02-07,40.69313049316406
2005-02-08,39.930145263671875
2005-02-09,39.728431701660156
2005-02-10,41.22810745239258
2005-02-11,40.982521057128906
2005-02-14,41.912166595458984
2005-02-15,42.71025085449219
2005-02-16,42.90318298339844
2005-02-17,42.32435989379883
2005-02-18,42.087581634521484
2005-02-22,42.39451599121094
2005-02-23,44.72735595703125
2005-02-24,46.411197662353516
2005-02-25,48.93699645996094
2005-02-28,50.5682258605957
2005-03-01,47.139137268066406
2005-03-02,47.37593460083008
2005-03-03,47.122711181640625
2005-03-04,48.191768646240234
2005-03-07,46.48503494262695
2005-03-08,45.01275634765625
2005-03-09,43.27788162231445
2005-03-10,42.1900749206543
2005-03-11,44.16875457763672
2005-03-14,45.528526306152344
2005-03-15,45.64104080200195
2005-03-16,46.700721740722656
2005-03-17,49.3452262878418
2005-03-18,47.957332611083984
2005-03-21,48.482486724853516
2005-03-22,47.300899505615234
2005-03-23,45.472259521484375
2005-03-24,45.913002014160156
2005-03-28,45.18154525756836
2005-03-29,43.4560661315918
2005-03-30,43.46543884277344
2005-03-31,45.950531005859375
2005-04-01,46.31623840332031
2005-04-04,46.203712463378906
2005-04-05,45.65043640136719
2005-04-06,46.43815994262695
2005-04-07,46.982059478759766
2005-04-08,45.96928024291992
2005-04-11,46.100547790527344
2005-04-12,47.028953552246094
2005-04-13,45.734840393066406
2005-04-14,44.07499694824219
2005-04-15,42.43391036987305
2005-04-18,43.78427505493164
2005-04-19,45.82859420776367
2005-04-20,44.58137512207031
