Date,RealTRP,ret
1974.08,82012.96570675295,-0.04916471231034347
1974.09,72928.08239203929,-0.11077374457104427
1974.1,73931.28474390812,0.013756050055943048
1974.11,76103.43217632959,0.029380626076573657
1974.12,70916.82596717682,-0.06815206700711662
1975.01,76745.2266622829,0.08218642918118912
1975.02,84393.61206446096,0.09965942814703976
1975.03,88256.88191436187,0.04577680413714358
1975.04,89231.81732247246,0.011046565287187393
1975.05,94685.82353225801,0.06112176545811532
1975.06,96700.71601300535,0.02127976930000397
1975.07,96043.34958852916,-0.006797947849608299
1975.08,89159.41420476092,-0.07167529467954348
1975.09,87913.4586376231,-0.013974470091025815
1975.1,91778.72214874203,0.043966686910265285
1975.11,92974.29607557708,0.013026700512319467
1975.12,91545.58857004863,-0.015366693439303747
1976.01,100103.79394564686,0.0934857212595197
1976.02,103912.76900545871,0.03805025673532425
1976.03,104559.47749264605,0.006223570917962551
1976.04,105330.03339338877,0.00736954620681729
1976.05,104185.48610075699,-0.010866295735017073
1976.06,104570.5218356241,0.003695675369741469
1976.07,106796.20304974577,0.02128402130019258
1976.08,105644.99132902082,-0.010779519194972886
1976.09,107847.2750860439,0.02084607826001217
1976.1,103959.37443675625,-0.03605005918031556
1976.11,103405.28738671103,-0.005329842095022408
1976.12,106957.59251272297,0.034353225214946326
1977.01,105841.36260584641,-0.010436191397480976
1977.02,102289.24432636893,-0.033560776165605266
1977.03,101550.44942944692,-0.007222605874032895
1977.04,99506.84598817774,-0.020124021634084333
1977.05,99080.3714165631,-0.004285881713759765
1977.06,99317.77826895071,0.0023961037791178086
1977.07,100100.62682694991,0.007882260071094827
1977.08,97703.46018123407,-0.023947568778564854
1977.09,96244.48088063793,-0.014932729075201823
1977.1,93828.25632248611,-0.02510507133545059
1977.11,94294.34514755756,0.004967467619450439
1977.12,93920.0437063672,-0.00396950040434163
1978.01,90158.70084491507,-0.04004835084203784
1978.02,88718.17744249775,-0.015977641524529296
1978.03,88255.9139012375,-0.005210471569480402
1978.04,91797.74800365946,0.04013140815000171
1978.05,95952.65163457763,0.04526149847110128
1978.06,95564.81895656869,-0.004041917251916605
1978.07,94781.42955161814,-0.008197466531136066
1978.08,101267.71817572427,0.06843417170210198
1978.09,100910.976042181,-0.0035227626332433593
1978.1,97236.239706516,-0.036415625730633616
1978.11,91540.93973512665,-0.0585717834068783
1978.12,92889.00511500426,0.014726365971097
1979.01,95929.99438957023,0.03273788184942861
1979.02,93820.60922392395,-0.02198879692497535
1979.03,95057.59273271289,0.013184560610095764
1979.04,96268.67739019192,0.01274053573904843
1979.05,93261.07393625769,-0.031241765602989968
1979.06,94462.50330958061,0.012882431250406556
1979.07,94760.53015557531,0.003154975101792301
1979.08,98572.57423261211,0.04022818435880726
1979.09,99021.96179591776,0.004558951278325951
1979.1,94942.17002314872,-0.04120087805549044
1979.11,93766.74753793846,-0.012380404670797707
1979.12,96878.62963720011,0.03318748043385611
1980.01,98676.2667139436,0.01855555847017487
1980.02,101581.39606099081,0.029441013972174357
1980.03,91280.13774643154,-0.10140890668970781
1980.04,89220.33166791989,-0.022565764353178586
1980.05,92800.41186860269,0.040126282134972824
1980.06,98093.09823725228,0.05703300515673981
1980.07,102970.88525548996,0.049726098022105925
1980.08,105815.09000033437,0.027621445982399795
1980.09,107912.07209739284,0.019817420152946408
1980.1,110450.12636972599,0.023519650980684537
1980.11,114603.16727207189,0.037601051613502134
1980.12,112129.5556918137,-0.021584146748629962
1981.01,111241.24992731272,-0.007922137557937692
1981.02,106724.68790018876,-0.040601503759398416
1981.03,110395.82970027618,0.03439824348346421
1981.04,111073.615300967,0.0061395942449185
1981.05,108427.93302105425,-0.023819178593799784
1981.06,108394.66045892678,-0.0003068633810534571
1981.07,105052.58962690191,-0.030832430470975614
1981.08,105095.51175231373,0.0004085775092670385
1981.09,95442.05481227419,-0.09185413134283549
1981.1,96885.1323229657,0.015119933382929718
1981.11,99516.8779599521,0.02716356549128185
1981.12,100371.66261122607,0.00858934352440155
1982.01,95247.73271314084,-0.05104956682776063
1982.02,93130.5406193944,-0.022228267628404463
1982.03,90672.41593487644,-0.026394399390032852
1982.04,95230.5288180421,0.05027011617777388
1982.05,94875.2885529198,-0.003730319147981054
1982.06,88764.93360548148,-0.06440407234208378
1982.07,88525.96354747098,-0.002692167371775578
1982.08,89047.07821544635,0.005886574368613617
1982.09,99615.52647091897,0.11868382957947943
1982.1,108131.87791892889,0.08549220939464819
1982.11,113228.78287788272,0.04713600704109844
1982.12,115234.39814896364,0.017712945596562335
1983.01,119514.2283141394,0.03714021363346065
1983.02,121936.1402726896,0.020264632861823673
1983.03,126650.64442458155,0.03866371480472286
1983.04,131030.4710466822,0.03458195291464761
1983.05,136000.37848922604,0.03792940224395003
1983.06,137968.59740855903,0.014472157660126772
1983.07,138390.63622491295,0.003058948371448267
1983.08,134656.32451536262,-0.02698384667790177
1983.09,138429.2291127489,0.028018770087221867
