Date,AdjClose
1998-01-02,17.81721305847168
1998-01-05,17.854883193969727
1998-01-06,17.490755081176758
1998-01-07,17.327516555786133
1998-01-08,16.975954055786133
1998-01-09,16.473703384399414
1998-01-12,16.423480987548828
1998-01-13,16.63693618774414
1998-01-14,16.74994468688965
1998-01-15,16.34813690185547
1998-01-16,16.473703384399414
1998-01-20,16.56160545349121
1998-01-21,16.39836883544922
1998-01-22,16.084468841552734
1998-01-23,15.883575439453125
1998-01-26,15.946345329284668
1998-01-27,16.77505111694336
1998-01-28,16.662052154541016
1998-01-29,16.825271606445312
1998-01-30,16.812721252441406
1998-02-02,17.40286636352539
1998-02-03,17.465641021728516
1998-02-04,17.540979385375977
1998-02-05,17.4279727935791
1998-02-06,17.40286636352539
1998-02-09,17.151742935180664
1998-02-10,17.4279727935791
1998-02-11,17.553539276123047
1998-02-12,17.80465316772461
1998-02-13,17.741884231567383
1998-02-17,17.8799991607666
1998-02-18,17.80465316772461
1998-02-19,17.415414810180664
1998-02-20,17.679096221923828
1998-02-23,17.829771041870117
1998-02-24,17.553539276123047
1998-02-25,17.8799991607666
1998-02-26,17.905118942260742
1998-02-27,18.093454360961914
1998-03-02,18.407360076904297
1998-03-03,18.65847396850586
1998-03-04,18.457582473754883
1998-03-05,18.407360076904297
1998-03-06,18.746381759643555
1998-03-09,18.54547119140625
1998-03-10,18.532917022705078
1998-03-11,18.80915641784668
1998-03-12,18.671039581298828
1998-03-13,18.532917022705078
1998-03-16,18.871929168701172
1998-03-17,19.236061096191406
1998-03-18,19.499744415283203
1998-03-19,19.53740692138672
1998-03-20,19.562524795532227
1998-03-23,19.110502243041992
1998-03-24,19.273725509643555
1998-03-25,19.110502243041992
1998-03-26,18.68359375
1998-03-27,18.583131790161133
1998-03-30,18.28179359436035
1998-03-31,18.445026397705078
1998-04-01,18.558025360107422
1998-04-02,18.984933853149414
1998-04-03,19.888994216918945
1998-04-06,21.044157028198242
1998-04-07,20.787456512451172
1998-04-08,20.900691986083984
1998-04-09,21.55504035949707
1998-04-13,21.32853889465332
1998-04-14,21.114625930786133
1998-04-15,20.888120651245117
1998-04-16,20.611289978027344
1998-04-17,21.542457580566406
1998-04-20,20.888120651245117
1998-04-21,20.737119674682617
1998-04-22,21.34111976623535
1998-04-23,20.749717712402344
1998-04-24,20.5106258392334
1998-04-27,20.460296630859375
1998-04-28,20.35962677001953
1998-04-29,20.409963607788086
1998-04-30,20.573545455932617
1998-05-01,21.24045181274414
1998-05-04,21.026535034179688
1998-05-05,20.623870849609375
1998-05-06,20.032466888427734
1998-05-07,20.057634353637695
1998-05-08,20.472867965698242
1998-05-11,20.38479232788086
1998-05-12,20.812625885009766
1998-05-13,21.227867126464844
1998-05-14,21.164958953857422
1998-05-15,20.95104217529297
1998-05-18,20.862958908081055
1998-05-19,20.636455535888672
1998-05-20,21.36628532409668
1998-05-21,21.190128326416016
1998-05-22,20.913293838500977
1998-05-26,20.535795211791992
1998-05-27,20.409963607788086
1998-05-28,20.812625885009766
1998-05-29,20.661624908447266
1998-06-01,20.900691986083984
1998-06-02,20.812625885009766
1998-06-03,20.674219131469727
1998-06-04,20.925884246826172
1998-06-05,21.03912353515625
1998-06-08,21.945110321044922
1998-06-09,21.567615509033203
1998-06-10,21.680862426757812
1998-06-11,20.95104217529297
1998-06-12,20.68678092956543
1998-06-15,20.39737892150879
1998-06-16,20.409963607788086
1998-06-17,21.1272029876709
1998-06-18,21.21527862548828
1998-06-19,21.44178581237793
1998-06-22,21.24045181274414
1998-06-23,21.315954208374023
1998-06-24,21.86960792541504
1998-06-25,21.97028160095215
1998-06-26,22.247112274169922
1998-06-29,22.486188888549805
1998-06-30,22.947660446166992
1998-07-01,22.594627380371094
1998-07-02,22.518964767456055
1998-07-06,22.84679412841797
1998-07-07,22.998096466064453
1998-07-08,23.098970413208008
1998-07-09,23.06114387512207
1998-07-10,23.565494537353516
1998-07-13,23.502456665039062
1998-07-14,23.779842376708984
1998-07-15,23.111574172973633
1998-07-16,23.25027084350586
1998-07-17,23.363739013671875
1998-07-20,23.111574172973633
1998-07-21,22.682884216308594
1998-07-22,22.518964767456055
1998-07-23,21.951587677001953
1998-07-24,21.59854507446289
1998-07-27,22.758543014526367
1998-07-28,22.645063400268555
1998-07-29,22.74591636657715
1998-07-30,22.972883224487305
1998-07-31,22.26679801940918
1998-08-03,22.140710830688477
1998-08-04,21.47245979309082
1998-08-05,21.875926971435547
1998-08-06,20.388124465942383
1998-08-07,20.375511169433594
1998-08-10,20.33767318725586
1998-08-11,19.871158599853516
1998-08-12,19.896387100219727
1998-08-13,19.215513229370117
1998-08-14,18.900299072265625
1998-08-17,19.39203643798828
1998-08-18,20.249422073364258
1998-08-19,20.375511169433594
1998-08-20,19.593769073486328
1998-08-21,19.177692413330078
1998-08-24,19.60637855529785
