asset,window,years,CAGR_unhedged,breakeven_VRP_expectancy,breakeven_VRP_CAGR
DHT,2005+,19.2,-0.0617,0.01,0.67
DHT,2013+,12.0,0.1431,0.0,0.0
DHT,2019+,6.0,0.2482,0.0,0.0
FRO,2005+,20.0,-0.0473,0.0,0.0
FRO,2013+,12.0,0.0376,0.0,0.0
FRO,2019+,6.0,0.2582,0.0,0.0
