asset,hedge,CAGR,maxDD
JPM,UNHEDGED,0.1027,-0.7402
JPM,k20% 252d VRP0%,0.0632,-0.6542
JPM,k20% 252d VRP50%,0.0118,-0.815
JPM,k30% 252d VRP0%,0.0759,-0.6694
JPM,k30% 252d VRP50%,0.0381,-0.754
AXP,UNHEDGED,0.1093,-0.8391
AXP,k20% 252d VRP0%,0.0998,-0.5562
AXP,k20% 252d VRP50%,0.0497,-0.6363
AXP,k30% 252d VRP0%,0.1069,-0.6317
AXP,k30% 252d VRP50%,0.0706,-0.6642
