ticker,expiry,T_years,spot,strike,otm,put_IV,realized_vol_63d,paid_VRP,open_interest
JPM,2027-06-17,0.91,338.87,165.0,0.2,0.465,0.225,1.066,309
AXP,2027-06-17,0.91,351.93,180.0,0.2,0.493,0.247,0.995,8
