ticker,yr2026_low,low_date,yr2026_high,high_date,june_high,latest,latest_date,off_high_pct
DHT,10.96,2026-01-05,19.96,2026-06-23,19.96,18.57,2026-07-31,-7.0
FRO,19.11,2026-01-02,42.88,2026-06-23,42.88,39.37,2026-07-31,-8.0
