mon,avg_ret_pct,median_ret_pct,pct_positive
1,5.2,6.4,65.0
2,6.6,4.2,59.0
3,2.0,1.2,53.0
4,0.9,-0.3,47.0
5,-1.3,-0.7,47.0
6,-1.5,-1.7,35.0
7,0.6,1.6,59.0
8,-2.6,-3.9,31.0
9,2.0,2.9,69.0
10,2.1,5.0,56.0
11,-5.6,-5.0,25.0
12,2.3,0.5,50.0
