year,Q1,Q2,Q3,Q4
2010,,0.7,10.0,15.0
2011,5.5,-18.5,-45.3,-63.0
2012,33.6,-33.5,-12.8,-34.5
2013,17.7,-5.9,-2.0,57.1
2014,14.0,-7.2,-14.2,19.1
2015,-3.9,13.6,-2.6,11.8
2016,-25.8,-8.8,-13.0,-0.7
2017,9.8,-5.4,-3.6,-9.3
2018,-4.8,38.7,0.7,-16.2
2019,15.2,34.3,4.4,35.5
2020,-2.1,-29.2,9.0,5.2
2021,14.3,10.2,1.0,-20.3
2022,12.2,6.1,24.0,17.9
2023,25.9,-18.8,25.1,-3.0
2024,19.5,3.0,-2.2,-13.9
2025,14.8,4.3,10.5,2.2
2026,53.4,-6.2,12.3,
