,price,navps,pnav,pb,pe_q2,pe_ttm,y_q2,y_ttm,prem,fleet
DHT,22.450000762939453,17.076409734798666,1.3146792043289035,2.7179177679103455,4.600409992405626,7.636054681271923,21.737193025204355,10.111358230986452,5.373591028140787,3026.4319999999975
FRO,49.810001373291016,36.136966980051476,1.378366961477077,3.5201414398085524,4.771072928476151,7.467766322832237,20.95964607942795,12.025697319518528,13.67303439323954,10158.32
