ticker,ships,fleet_asset_value_M,EV_M,mcap_M,EV_per_ship_M,EV_to_NAV,premium_pct
DHT,24,4188,3994,3715,166.4,0.95,-5
FRO,81,11649,14060,11948,173.6,1.21,21
