ticker,n,excluded,min,median,mean,p75,p90,max,today,percentile
DHT,75,0,0.07,0.4,0.63,0.92,1.37,2.82,2.82,99
FRO,53,1,0.34,0.75,1.06,1.21,1.91,4.18,3.63,96
