cycle,note,DHT_peak_pb,DHT_peak_date,DHT_peak_price,DHT_peak_bvps,FRO_peak_pb,FRO_peak_date,FRO_peak_price,FRO_peak_bvps
2008 super-cycle,Demand-driven peak; peak earnings AND peak multiples,1.15,2007-12-31,33.14,28.73,,,,
2015-16 spike,Oil-price-collapse-driven tonne-mile surge,0.42,2015-12-31,3.3,7.94,4.18,2015-06-30,5.31,1.27
2020 floating storage,COVID contango; violent but short,0.64,2020-03-31,4.18,6.52,0.66,2020-03-31,5.32,8.12
2022-23 post-Ukraine,Re-routing; the start of the current cycle,1.2,2023-09-30,7.66,6.38,1.51,2023-12-31,15.44,10.23
2026 current,Supply-driven + Hormuz war premium,2.82,2026-09-18,23.27,8.25,3.63,2026-09-18,51.42,14.17
