Date,gold,Newmont,Agnico,Kinross,Zijin,Shandong Gold,Zhaojin
2021-01-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-01-15,99.7382952498934,98.5188628942,95.18855275249084,94.30893311706163,93.03964769399083,94.31161769038044,95.02119555733762
2021-01-22,101.17768801447353,98.34367602020559,98.01715638566107,94.98643072180145,95.41849796090426,93.07502028087225,93.75000968576687
2021-01-29,100.7197030378876,94.91957349403336,96.85245961006568,94.57991219102749,84.58148498029139,91.54986609123725,89.08897071654322
2021-02-05,98.73507706882427,94.44177093186715,98.4331406446395,98.10296106574548,86.34360260719184,85.77904830046087,86.65253801702237
2021-02-12,99.31846681389293,93.86844508993802,92.45699662153496,100.0,106.43169995913469,89.57130860622023,89.7245843152979
2021-02-19,96.8213332133551,90.25322440295086,82.90346402062991,88.61785910271966,120.17619659930841,92.29183431576554,89.30084880378455
2021-02-26,94.22059858181197,86.60614830245159,77.9326087514165,84.41731975466546,107.40086749706398,91.54986609123725,83.15677687020276
2021-03-05,92.57946800078562,91.24826035718017,79.7459587431929,89.1856044060664,96.91629889148099,91.3437692393257,79.02541762185548
2021-03-12,93.7517050808898,94.86666014140252,82.4520503917903,91.63651093226343,100.0,89.77740545813177,80.29660865916856
2021-03-19,94.9457525540689,99.59472954367281,84.58624441134887,94.22357021597813,95.41849796090426,91.30255149874729,81.24999806284663
2021-03-26,94.4441401357356,98.90320429372882,82.10335175720923,91.50034391193857,87.31276066800761,89.61253449581812,74.36440448134346
2021-04-02,94.13336366510977,99.40175690947069,83.23316840871128,95.5852118936123,89.25107678963916,88.33469489867305,75.31779388502152
2021-04-09,95.04934692947668,98.91930026351422,84.76759208542884,100.89546895575214,90.6607974270774,88.00494482502629,80.61440512706125
2021-04-16,96.9958030467595,105.19120086030381,90.08211827796363,102.12092935025426,90.13215455731644,83.14097437011135,80.40253737130458
2021-04-23,96.88675773698236,105.68974631591676,92.21629419051887,100.078502490821,94.97797329273591,82.85242573900402,80.72033383919725
2021-04-30,96.35789064680228,100.36664872099692,87.0970399576296,95.85749601443682,97.18060611069117,79.80214180679245,74.68220611497848
2021-05-07,99.8364320353343,108.27894201076037,96.48463997996159,105.38878094717164,105.02200775303703,85.82026604103928,84.95763213116523
2021-05-14,100.20718875081556,113.77888046945242,97.67031070108808,105.93343476566386,97.44491332990135,85.77904830046087,83.36864462595945
2021-05-21,102.32266376713342,118.24967927992589,100.54381366686434,109.47361327182736,95.33038923642518,86.60346830418497,86.440675427008
2021-05-28,103.72935092549744,118.16924955190122,100.08349742805107,110.29060113096929,98.59029831678882,87.26298474951749,85.38136247693625
2021-06-04,103.03691587065164,115.76561575783985,99.13029648709046,109.05910043761857,95.50659720826981,84.37757177961954,85.16948955543725
2021-06-11,102.36083361891393,113.91856026419158,99.9152894027254,106.73577472181286,96.91629889148099,83.75926492584595,87.51169394919039
2021-06-18,96.39060290861592,101.45896934670053,87.98656460352453,87.73926304788345,86.07928591086814,79.92580317754717,80.4680648127093
2021-06-25,96.86494734390743,101.55618241688575,87.35578299963636,87.19261956778702,89.42729423859733,80.58531147386019,83.34955204232271
2021-07-02,97.19208327323884,102.65794009249025,86.47268633992579,88.01260261644067,86.69603750510817,79.10139947186204,80.36134057625509
2021-07-09,98.68600534830505,103.6624846979095,86.17833889369227,86.09928268776896,90.45479341029761,79.67847228701824,78.65379928466866
2021-07-16,98.9313572953036,100.0169695055122,85.8699585198732,84.73261337059729,89.20590886655997,71.5581291969997,78.33363174104836
2021-07-23,98.21711184738288,97.39218796999533,84.03369109754092,83.63931214759724,90.3655663864221,72.50618612442004,75.98576052796366
2021-07-30,98.82776291989582,101.78300098043644,90.66386008114955,89.65258297655515,91.43604426797638,72.59159599769058,81.10839473420758
2021-08-06,95.95987260387673,96.92233315091711,84.84669554733699,84.59596854623128,95.2718964917242,72.30223246463427,75.55887391363147
2021-08-13,96.78861429594394,95.33449580412866,82.89826731067241,83.0926401418864,100.7134465835764,75.23729741028235,73.9580465270146
2021-08-20,97.10484835653664,91.30012117086152,78.6650672147053,78.43081308341567,89.56270323669962,72.71560777628335,66.38081687123179
2021-08-27,99.04585353945009,94.28134108355233,82.09928975279414,83.10094109567598,93.22015827537763,74.65855404613079,65.7404869497335
2021-09-03,99.8255301665956,96.67928973526068,83.02740042279852,85.02393833903193,98.75090695976473,75.89872072617543,70.11607732950958
2021-09-10,97.5737418574588,93.21679459788322,77.80908881032461,78.43081308341567,106.77946264008122,82.5956745819451,70.75640725100786
2021-09-17,95.38193379317744,90.32163227453881,75.07303007120579,75.27160128892989,96.43158244292692,83.5051459020822,62.64556157869632
2021-09-24,95.3982865962855,88.1134843199263,71.23686223739186,72.52446338862192,92.23889794058532,80.0739930969656,59.977522821991315
2021-10-01,95.79630463921104,87.60643979129942,71.91384084245851,73.07389524752567,90.00874358494185,81.0661280708052,58.483424837570986
2021-10-08,95.75814144302805,88.83317751699474,76.13079895643304,77.88137409310832,91.5252428605113,82.09960302051556,58.59014390828287
2021-10-15,96.35243305683541,93.28218805520086,80.99650082160528,83.92510314683881,102.22997429048641,82.96771806674292,61.044739357821776
2021-10-22,97.89542685242084,94.23089081526588,80.57340654598349,86.80958474906552,99.19695678512048,82.01692306877406,60.83129605065568
2021-10-29,97.21389366631377,88.32612582823897,74.81914574176093,82.55151636817583,93.30935686791254,82.3476347267206,59.443917136947235
2021-11-05,99.03495167071138,92.18629452517212,75.59485580035218,85.2986471370802,90.81161621177786,82.47166280335234,61.15145842853366
2021-11-12,101.84286839747254,96.0628527571759,80.48876837672225,95.3257072480377,95.8071164782743,86.27486724228623,72.99755422763835
2021-11-19,100.93233606747498,92.49708708055697,76.65261864991166,91.61707072605176,93.04175161319426,83.17443424413567,80.14790243483132
2021-11-26,97.33929843479648,91.49933743747148,73.09853378540485,84.19979768207989,92.41729512565516,79.90864134250207,83.88315772736678
2021-12-03,97.1593710114252,89.42201935826772,68.82092324592178,80.61553997026918,90.27635831677365,78.04835872635715,76.09248476441786
2021-12-10,97.20844273194442,92.66484890087368,67.69900728354209,73.57547538827819,91.5252428605113,79.41253718499456,72.89083515692647
2021-12-17,98.34796755023496,97.85143863816067,71.6044464764526,76.61236934822894,90.72237971078883,79.74327328999956,70.00934792731304
2021-12-24,98.75142987193233,98.33042978172561,73.28023152821599,76.88844737576828,86.44050609302583,76.80819204631251,71.07656446314351
2021-12-31,99.64015180885497,102.44337966963022,75.4672738548452,80.20141223185476,86.5297236397878,77.80032702015211,71.07656446314351
2022-01-07,97.97721083475369,98.16524560781582,71.1925966499026,75.23195068491782,83.58592368118384,78.54443843680619,62.432123437272544
2022-01-14,99.04040260508073,101.12194207899641,73.01040096449971,77.16453253471121,87.60018256711503,80.03264497207535,65.42032973759785
2022-01-21,99.8746018871148,104.21078588930483,72.27190683343217,77.99278088013644,91.61446040727327,81.81024763647876,73.9580465270146
2022-01-28,97.31748804172155,98.87553755562793,65.69657792726115,72.47114188391002,87.0649436263379,77.51095533807634,66.70098441485209
2022-02-04,98.50062699056443,100.64293661517365,68.45169126955744,74.54177344457847,87.0649436263379,77.51095533807634,67.98163909210632
2022-02-11,100.36530578111191,105.48263242712117,70.63872756051889,78.82101496275446,98.66172732145687,78.42041036017444,70.86312115597741
2022-02-18,103.51671124031252,111.77592032895924,77.99516241227535,80.33946194272984,100.17821711991277,82.30629475084984,74.27821407063492
2022-02-25,102.85698844728037,112.15582244856503,73.56425798254787,76.3362913206896,97.68045750955103,85.82012750770795,73.53116507842475
2022-03-04,107.1424677904022,122.69417893691991,80.83734026227994,75.64607129192864,103.30041426358659,83.62914953165547,75.13198729929928
2022-03-11,108.10206518532146,127.91180783302349,87.86354562285828,78.14291832011232,97.94807224138285,86.60557890023277,83.1361035694143
2022-03-18,105.13058049389458,123.03750711806316,86.37531894731919,77.44894004165452,94.82586562059551,78.37907038430369,78.97396166254664
2022-03-25,106.5263657835199,131.338774410759,88.79369634857188,79.53090340264227,102.76518479992296,89.08592855836103,78.54707504821445
2022-04-01,104.63442566552814,137.71021511962894,90.55384192887871,83.55600309075032,102.14072831238386,89.2099403369538,75.66560331582801
2022-04-08,105.86118540052087,136.6122379920879,93.20117635165008,86.19315335334643,106.60103702367078,95.70019431336972,82.17560610429572
2022-04-15,107.45870185099488,141.02075800131874,94.15995424963823,85.22159232118986,108.20674436888868,89.70600374936387,96.36957828222744
2022-04-22,105.28324658982157,123.96915445106909,85.2877519702683,76.19976059878117,101.07027886217017,83.54646957991397,87.61840785415994
2022-04-29,104.1001076409787,121.19096715369623,83.32726446938182,70.50905028602277,98.75090695976473,79.20586990171876,79.9344539619229
2022-05-06,102.56801571413196,121.2242617531189,82.11092048460377,68.28830267958924,89.83033692275849,76.18811685530967,74.70510585070943
2022-05-13,98.54424777671429,108.54786929241959,72.46596562385417,57.73970162920481,85.01321488710484,74.61720592124054,68.6219690136046
2022-05-20,100.41982843600049,111.77518999581059,77.0737935831798,62.458815252788646,89.38429657451627,74.90659390135531,73.31772177125866
2022-05-27,100.93779365744184,114.30382532034953,77.35998684224424,63.15281492545722,88.58146185613438,76.51882036423673,74.70510585070943
2022-06-03,100.6161086624798,113.74523502371328,78.1096650657058,63.57666276697746,88.04622291535725,75.40265731376536,72.89083515692647
2022-06-10,102.03914862395189,112.11843225540696,77.86459281121789,63.29718305992126,92.70438532578905,76.06408062965843,75.34543060646538
2022-06-17,100.08178398233285,106.93597391249993,73.15032585061421,57.288843596552255,89.88412901914907,79.41253718499456,76.51937137875005
2022-06-24,99.58562915396641,107.6403873944785,70.95898009285875,55.89155203232523,83.69777257505305,77.0148756276273,73.21100270054677
