Date,zijin,gold,copper
2021-01-08,100.0,100.0,100.0
2021-01-15,93.03964769399083,99.7382952498934,98.080845671692
2021-01-22,95.41850743801778,101.17768801447353,98.96556128541847
2021-01-29,84.58149445740493,100.7197030378876,97.27779661386562
2021-02-05,86.3436215614189,98.73507706882427,99.06083785226369
2021-02-12,106.43169995913469,99.31846681389293,103.49802593184117
2021-02-19,120.17620607642192,96.8213332133551,111.33796337641462
2021-02-26,107.40087697417752,94.22059858181197,111.46045996515006
2021-03-05,96.91628941436745,92.57946800078562,111.25629033028517
2021-03-12,100.0,93.7517050808898,112.84878492522216
2021-03-19,95.41850743801778,94.9457525540689,112.24989252180197
2021-03-26,87.31276066800761,94.4441401357356,111.02490067353004
2021-04-02,89.25110522097975,94.13336366510977,108.98325624671594
2021-04-09,90.6607974270774,95.04934692947668,110.26268813876838
2021-04-16,90.13214508020292,96.9958030467595,113.78793409249978
2021-04-23,94.97796381562237,96.88675773698236,118.22512217207726
2021-04-30,97.18060611069117,96.35789064680228,121.92731773878333
2021-05-07,105.02200775303703,99.8364320353343,129.74002218100782
2021-05-14,97.44493228412841,100.20718875081556,126.96338524132231
2021-05-21,95.33038923642518,102.32266376713342,122.39008407183489
2021-05-28,98.59028883967528,103.72935092549744,127.46698809743859
2021-06-04,95.50659720826981,103.03691587065164,123.51979935326163
2021-06-11,96.91628941436745,102.36083361891393,123.62869242128131
2021-06-18,86.07930486509518,96.39060290861592,113.31155125827375
2021-06-25,89.42729423859733,96.86494734390743,117.02735034569558
2021-07-02,86.69602802799463,97.19208327323884,116.564584012644
2021-07-09,90.45477445607054,98.68600534830505,118.48373185072265
2021-07-16,89.2058899123329,98.9313572953036,117.93929247154165
2021-07-23,90.36557586353562,98.21711184738288,119.9537168764655
2021-07-30,91.43604426797638,98.82776291989582,121.96815426184804
2021-08-06,95.27188701461068,95.95987260387673,118.29317871703222
2021-08-13,100.7134465835764,96.78861429594394,119.42289399845896
2021-08-20,89.56272219092669,97.10484835653664,112.54933872351207
2021-08-27,93.22016775249115,99.04585353945009,117.5037461603803
2021-09-03,98.75092591399178,99.8255301665956,117.74873933785122
2021-09-10,106.77945316296768,97.5737418574588,121.08343215789222
2021-09-17,96.43157296581339,95.38193379317744,115.57098182112719
2021-09-24,92.2388884634718,95.3982865962855,116.71430062326971
2021-10-01,90.00875306205538,95.79630463921104,114.15543683916485
2021-10-08,91.5252428605113,95.75814144302805,116.59180403453423
2021-10-15,102.2299648133729,96.35243305683541,128.86892955868515
2021-10-22,99.19695678512048,97.89542685242084,123.20674963083576
2021-10-29,93.30936634502606,97.21389366631377,119.10984427603309
2021-11-05,90.81158778043726,99.03495167071138,118.38845528387745
2021-11-12,95.80712595538782,101.84286839747254,121.2876017927571
2021-11-19,93.04175161319426,100.93233606747498,120.00816990070469
2021-11-26,92.41729512565516,97.33929843479648,116.55096751146954
2021-12-03,90.27636779388719,97.1593710114252,116.14264122219846
2021-12-10,91.5252428605113,97.20844273194442,116.59180403453423
2021-12-17,90.72238918790235,98.34796755023496,116.80957719011491
2021-12-24,86.44051557013937,98.75142987193233,119.42289399845896
2021-12-31,86.5297236397878,99.64015180885497,121.27398529158265
2022-01-07,83.58593315829737,97.97721083475369,119.85844030962029
2022-01-14,87.60018256711503,99.04040260508073,120.08982996637543
2022-01-21,91.61446040727327,99.8746018871148,122.83924688417069
2022-01-28,87.06495310345142,97.31748804172155,117.13624341371525
2022-02-04,87.06495310345142,98.50062699056443,122.04981432751877
2022-02-11,98.66172732145687,100.36530578111191,122.63509022976451
2022-02-18,100.17821711991277,103.51671124031252,123.0298000178611
2022-02-25,97.68044803243751,102.85698844728037,121.7367646050929
2022-03-04,103.3004237407001,107.1424677904022,134.1772102605853
2022-03-11,97.94806276426931,108.10206518532146,125.65673332737963
2022-03-18,94.82586562059551,105.13058049389458,128.77365299183995
2022-03-25,102.7651942770365,106.5263657835199,127.5622646642838
2022-04-01,102.14074726661092,104.63442566552814,127.46698809743859
2022-04-08,106.60104650078432,105.86118540052087,128.48781031084565
2022-04-15,108.20674436888868,107.45870185099488,128.4061502451749
2022-04-22,101.07026938505663,105.28324658982157,124.74479120153357
2022-04-29,98.75092591399178,104.1001076409787,119.64066715403962
2022-05-06,89.83032744564497,102.56801571413196,116.00652813228854
2022-05-13,85.0132054099913,98.54424777671429,113.80155059367425
2022-05-20,89.38432500585685,100.41982843600049,116.53736399075376
2022-05-27,88.58144290190732,100.93779365744184,117.16346343560551
2022-06-03,88.04622291535725,100.6161086624798,121.88648121571862
2022-06-10,92.70439480290258,102.03914862395189,117.08180336993476
2022-06-17,89.88414797337614,100.08178398233285,109.36436251409678
2022-06-24,83.69777257505305,99.58562915396641,102.35470063946931
2022-07-01,86.15412667640662,98.08080521016147,98.51639847308267
2022-07-08,82.51510462354251,94.90213176791904,96.14808782266823
2022-07-15,76.14679707680328,92.81936901341481,88.04954069944942
2022-07-22,78.87606835500812,94.1660759269234,91.15285035296463
2022-07-29,81.24143742792656,96.11798963417309,97.5636328046306
2022-08-05,80.24070162483216,96.66321618305875,96.71974722373949
2022-08-12,83.60681123940175,98.06444575145589,100.06805654495497
2022-08-19,80.42264325036183,95.28379035213901,100.2722196895905
2022-08-26,83.24290903411533,94.6567798209205,101.03443222435217
2022-09-02,77.51143034662732,93.22283799070972,93.14005473599823
2022-09-09,83.60681123940175,93.57177765751852,97.48196624873052
2022-09-16,78.96703916777295,91.14551951497732,96.9375268695495
2022-09-23,77.60240115939216,89.70612675039719,91.77895628804572
2022-09-30,71.32506442541778,90.63846281787217,93.69810412612438
2022-10-07,71.32506442541778,92.71577463800705,92.89505506829798
2022-10-14,72.416771041277,89.50983986832033,93.9294937828795
2022-10-21,72.14384912586895,90.01690322102301,95.90308815496799
2022-10-28,73.6904477140065,89.39534362417385,94.35143657332506
2022-11-04,76.05581204836815,91.18914030112718,101.11609878025224
2022-11-11,90.24805017866254,96.28700853320814,107.55410125380847
2022-11-18,87.70072526454415,95.51824043039886,98.87028471857327
2022-11-25,89.06536327292494,95.59457347836235,98.72056161771823
2022-12-02,91.9765714381027,97.91723724549577,104.75023780200334
2022-12-09,96.52538691263693,98.03718442401161,105.51245033676501
2022-12-16,93.70513060599697,97.59555225053373,102.39553067230469
2022-12-23,90.06609907601934,97.91723724549577,103.5252459537314
2022-12-30,90.97584511212183,99.21487243848513,103.59330249868637
2023-01-06,94.88781751173457,101.64113058102635,106.39716595049148
2023-01-13,105.0770982139811,104.59626246934515,114.53654310654568
2023-01-20,108.35223701578585,105.03244370845368,115.65264188679794
2023-01-27,108.35223701578585,105.15239088696953,114.9857059188815
2023-02-03,107.80639318496976,101.57025512302972,110.60297086354318
2023-02-10,101.80196888928987,101.56480418866036,109.63658869391664
2023-02-17,103.34858643165448,100.34349538803697,111.9912828431566
2023-02-24,105.80491210166744,98.62058082467779,107.6629878315988
2023-03-03,108.98906113648027,100.741506775365,111.01129715281427
2023-03-10,104.07637188800022,101.5211834025105,110.12657504885846
2023-03-17,104.2583419448705,107.39872826173695,106.53327904040142
2023-03-24,109.2620020061154,108.06935292350781,111.6510130988405
2023-03-31,112.71908243344981,107.35510747558709,111.73267316451121
2023-04-07,117.26787895375699,109.6941307014261,109.59575217085191
2023-04-14,126.82032605819553,109.16525695564849,111.81434621064066
2023-04-21,120.9069104837346,107.92759535191705,108.34354030068974
2023-04-28,116.72201616871385,108.50553416261634,105.34911722496486
2023-05-05,114.44762264711703,109.99400530331323,105.38995374802957
2023-05-12,99.89147757297945,109.83588827301686,101.1705453142621
2023-05-19,99.07271182675534,107.88397456576719,101.33387842606227
