ym,ECY
1881.0,-1.0488744813437083
1881.0833333333333,-1.1392839551264042
1881.1666666666667,-1.3123118077292342
1881.25,-0.7503501721981755
1881.3333333333333,-0.888108998627421
1881.4166666666667,-0.77324654335102
1881.5,-0.4047872140695685
1881.5833333333333,0.21436052233798353
1881.6666666666667,0.5564050621919746
1881.75,0.6724035747653734
1881.8333333333333,0.5069307365658436
1881.9166666666667,0.48775071089471045
1882.0,0.6063178135554369
1882.0833333333333,0.9174922369645379
1882.1666666666667,0.7978128065748568
1882.25,0.7498172735758778
1882.3333333333333,0.9991834775673065
1882.4166666666667,1.2729276253183244
1882.5,0.9093141918662707
1882.5833333333333,0.8044514050340748
1882.6666666666667,0.24137828797115776
1882.75,0.4945010915350101
1882.8333333333333,0.35008618493167637
1882.9166666666667,0.3181514310111641
1883.0,0.36494449665530615
1883.0833333333333,0.4730537555653114
1883.1666666666667,0.24952795648935377
1883.25,-0.027539500508169668
1883.3333333333333,0.15315856185122156
1883.4166666666667,-0.07597696898063999
1883.5,-0.2893784310230893
1883.5833333333333,0.021712055410358366
1883.6666666666667,-0.20348484115957077
1883.75,0.21206134844089508
1883.8333333333333,0.2632588189127032
1883.9166666666667,0.3570600132425897
1884.0,0.42286421889659725
1884.0833333333333,0.2565822726183317
1884.1666666666667,0.2969700846246606
1884.25,0.4344405478574259
1884.3333333333333,0.772107952616527
1884.4166666666667,1.333595913928627
1884.5,1.0776582875225413
1884.5833333333333,0.712640070692025
1884.6666666666667,0.7694843940038734
1884.75,0.9926540077895452
1884.8333333333333,0.8452660831066008
1884.9166666666667,0.6713915407826274
1885.0,0.8512315822483616
1885.0833333333333,0.8292950963367296
1885.1666666666667,0.4292613198831882
1885.25,0.573793747218472
1885.3333333333333,0.5144821410869277
1885.4166666666667,0.3211112584522599
1885.5,0.27569141791608104
1885.5833333333333,-0.16484217982207922
1885.6666666666667,-0.1797046066068106
1885.75,-0.5290783812508026
1885.8333333333333,-0.6273332459197555
1885.9166666666667,-0.11325526271279349
1886.0,-0.38685591279262743
1886.0833333333333,-0.5100824088172016
1886.1666666666667,-0.5816297274969718
1886.25,-0.6115746325158301
1886.3333333333333,-0.5358207123118977
1886.4166666666667,-0.7215438082054181
1886.5,-0.6163286740313335
1886.5833333333333,-0.5608130449167942
1886.6666666666667,-0.7953456270479276
1886.75,-1.1092002599045296
1886.8333333333333,-1.32473918810821
1886.9166666666667,-1.1670475276021288
1887.0,-0.9020288675654791
1887.0833333333333,-0.413997181161084
1887.1666666666667,-0.09743604392796479
1887.25,-0.49207840008725495
1887.3333333333333,-0.7584211150465772
1887.4166666666667,-0.2345926203621812
1887.5,-0.36613784970700447
1887.5833333333333,0.34779576235529974
1887.6666666666667,0.33621784870726534
1887.75,0.7416502541443091
1887.8333333333333,1.0122384862189284
1887.9166666666667,1.4297028255089093
1888.0,1.8720415575164657
1888.0833333333333,1.8545973596228886
1888.1666666666667,2.3484775724689606
1888.25,2.26329960426275
1888.3333333333333,2.332002716084853
1888.4166666666667,2.5898537334721192
1888.5,2.5259012921316772
1888.5833333333333,2.297457519121112
1888.6666666666667,2.161488650452833
1888.75,2.515687714099088
1888.8333333333333,2.9677725599002627
1888.9166666666667,3.3377840719047036
1889.0,2.5278875559769434
1889.0833333333333,2.1448301616429672
1889.1666666666667,2.189542995454784
1889.25,2.3128536760698455
1889.3333333333333,1.7511818172382072
1889.4166666666667,1.765522513178451
1889.5,1.7653549602927914
1889.5833333333333,1.6839963503965147
1889.6666666666667,1.396010132921139
1889.75,0.9590759257984194
1889.8333333333333,0.5033391836815351
1889.9166666666667,0.4389764903388396
1890.0,-0.29555589998916665
1890.0833333333333,-0.24631020800412462
1890.1666666666667,-0.3114404003578847
1890.25,-0.0757033008033002
1890.3333333333333,0.14888374225166395
1890.4166666666667,0.3649474647291595
1890.5,0.37884300307325924
1890.5833333333333,1.0599942338932966
1890.6666666666667,1.2180107583306308
1890.75,1.4756977765159676
